Cluster_ID;Descricao_Item;Preco_Pago;Score_Risco;Preco_Justo_Estimado;Teto_Estatistico;Quantas_Vezes_Mais_Caro;Perc_Excesso;ano;unidade_gestora
16;aquisicao de materiais necessarios para manutencao corretiva do sistema hidrosanitario da pgr e anexos;1020.00;9.19;142.68;330.00;7.10;209.09;2021;pgr
15;conserto do portao de entrada principal acesso de carro externo a prr4 entrada da garagem dos procuradores;612.00;9.18;77.45;268.50;7.90;127.93;2018;
1;para atender necessidades apontadas pelo demandante no prro000137502021;548.00;9.18;90.41;134.35;6.10;307.89;2021;prro
15;cilindro r22;450.00;9.18;53.17;268.50;8.50;67.60;2016;
2;mascara de protecao resp pff2 azul;599.50;9.17;70.02;381.85;8.60;57.00;2020;pgr
10;confeccao de adesivos e pvc impresso;558.00;9.17;78.92;181.78;7.10;206.96;2016;
16;material para colocar azulejo banheiro feminino t3 andar 3 e grampeador manutencao cadeira tecido;507.20;9.14;59.22;330.00;8.60;53.70;2018;
2;compra de mascara protetor facial necessidade do servico;580.00;9.12;67.11;381.85;8.60;51.89;2020;prr4 regiao
5;compra emergencial para odontologia;962.60;9.11;132.68;343.00;7.30;180.64;2021;pgr
15;"solicito o ajuste da porta da recepcao lado sul apos a passagem de pessoas abre e fecha
varias vezes";590.00;9.10;75.01;268.50;7.90;119.74;2018;
1;disponibilizacao de fundo com logomarca da procuradoria da republica em barra do garcas em atendimento a deflagracao de operacoes e atendimento a midia local;550.00;9.09;91.67;134.35;6.00;309.38;2020;prmt
4;necessidade imediata de material sem estoque no almoxarifado;742.42;9.09;92.43;355.00;8.00;109.13;2018;
17;servico de instalacao de 02 pontos de energia e manutencao em 04 cameras de seguranca;698.00;9.08;82.68;415.15;8.40;68.13;2016;
17;demanda oriunda da secao de seguranca organica no sistema de cftv da sede da prms com risco de pane no aludido sistema se as baterias nao fossem substituidas urgentemente;778.50;9.08;94.98;415.15;8.20;87.52;2017;
4;adquirido em atendimento ao despacho 56352018 da secretaria estadual;800.00;9.05;102.18;355.00;7.80;125.35;2018;
2;epis e materiais para utilizacao na prm  protecaoprevencao contra corona virus  conforme determinacao da ca prsc  oficio circular n 432020caprsc;792.90;8.98;100.57;381.85;7.90;107.65;2020;prsc
18;contratacao de profissionalempresa especializada em trabalho em altura  alpinismo industrial para efetuar o servico de passagem de cabo sdi pelo forro do auditorio;520.00;8.97;67.88;228.78;7.70;127.30;2019;prr4 regiao
12;compra de cabo para microfone 020 mm 04 unidades;380.00;8.95;47.88;185.55;7.90;104.80;2016;
6;atender necessidade de reposicao de material de limpeza nao fornecido pela empresa suan;921.10;8.93;121.65;396.03;7.60;132.58;2018;
4;contratacao autorizada pela coordenadora da prmjiparana o valor bruto da nota fiscal de servicos r 110000 pagamento parcial com cartao saldo em saque e deposito na conta da contratada;754.02;8.92;97.14;355.00;7.80;112.40;2020;prro
9;areia lavada 2 areia de fingir 2 torn coz crom pia inox valvula para pia inox cera 2 bico torneira jardim 2 torneira jardim 2 e uniao soldavel;414.30;8.92;52.25;204.85;7.90;102.25;2016;
2;aquisicao de diversos produtos destinados ao uso na limpeza e manutencao;759.14;8.89;95.54;381.85;7.90;98.81;2018;
6;aquisicao de material de limpeza para uso na prm petropolis;823.61;8.88;105.53;396.03;7.80;107.97;2018;
4;aquisicao de envelopes para a formacao de estoque no almoxarifado;587.50;8.85;72.04;355.00;8.20;65.49;2017;
11;gesso 1kg 5 fita dupla face  e vedapren 18kg;295.50;8.84;36.09;180.00;8.20;64.17;2016;
9;material para ireparo em impermeabilizacao da caixa dagua;540.00;8.84;74.70;204.85;7.20;163.61;2020;prr5 regiao
17;servicos de reparos em placa de fonte de tv lg;590.00;8.82;70.46;415.15;8.40;42.12;2018;
19;nao disponibilidade no estoque da selog;510.00;8.75;63.20;308.73;8.10;65.20;2019;prpb
19;substituicao lampadas mezanino torre 3 fio para extensao;509.12;8.75;62.57;308.73;8.10;64.91;2019;prsc
6;aquisicao de material para atender a prrj em razao  de problemas no contrato de limpeza;959.55;8.72;131.09;396.03;7.30;142.29;2018;
19;aquisicao de produtos anti mofo para desinfeccao de salas da sede que estao com excesso de fungos;585.20;8.70;75.26;308.73;7.80;89.55;2020;prrs
15;televisores estavam queimados troca de placa;560.00;8.69;73.96;268.50;7.60;108.57;2019;prr4 regiao
3;equipamentos necessarios para utilizacao em treinamento de agentes de seguranca institucional;750.00;8.68;95.99;399.45;7.80;87.76;2020;prsc
10;tubo pvc rosca;232.00;8.68;27.56;181.78;8.40;27.63;2016;
16;compra de material solicitada por parte da secao de manutencao e servicos gerais para reparo de tubulacao com vazamento;706.88;8.64;94.42;330.00;7.50;114.21;2016;
3;permitir melhor utilizacao dos smartphones durante as reunioes de trabalho;600.00;8.60;74.13;399.45;8.10;50.21;2021;prr1 regiao
6;o andar terreo esta sem climatizacao arcondicionado ate a compra e instalacao da nova tubulacao que dificulta o trabalho da equipe que la permanecem o dia inteiro com uniforme e coletes a demora no restabelecimento do funcionamento ao arcondicionado se mostra urgente e inoportuno a compra desse produto pelo rito normal de aquisicao nao ha este produto no almoxarifado da unidade bem como nao se demostra a viabilidade economica na estocam desse material;943.74;8.58;131.76;396.03;7.20;138.30;2021;prr1 regiao
4;85 galoes de 20l aguaexecelencia valor da unidade r 700;595.00;8.58;74.88;355.00;7.90;67.61;2016;
16;execucao de servicos de reparo nas instalacoes hidraulicas na prm picos;640.00;8.54;84.15;330.00;7.60;93.94;2017;
17;"instalacao e fornecimento de material para central telefonica
voice painel 24 portas  r 25000
cabo dg 24 pares com conector sipac 6 m  r 43000";680.00;8.54;85.77;415.15;7.90;63.80;2016;
17;aquisicao dos itens emergenciais para a execucao de servicos de manutencao;593.00;8.53;73.14;415.15;8.10;42.84;2019;prba
19;nao havua disponibilidade no estoque da selog;500.00;8.52;63.20;308.73;7.90;61.96;2021;prpb
7;aquisicao de materiais sem contrato e sem arp;701.21;8.50;99.02;292.50;7.10;139.73;2019;prmt
12;compra de micro sd 32 gb  04 unidades;312.00;8.48;39.77;185.55;7.80;68.15;2016;
8;guia de pinus 25cm x 50cm x 270m  150un x r 390 para reparos emergenciais bandejas salvavidas predio;585.00;8.45;82.62;248.54;7.10;135.37;2016;
17;aquisicao de fitas de dados lto3 para backup;597.00;8.44;74.90;415.15;8.00;43.80;2017;
13;40   quarenta   copias   de   chaves   de   diversas   salasgabinetes   desta procuradoria foi feito um levantamento das copias reservas eessa  e  a  necessidade  do  setor;400.00;8.44;51.93;230.50;7.70;73.54;2019;prba
5;papel ploter sulfite a0 75g 91;450.00;8.41;55.43;343.00;8.10;31.20;2016;
17;instalacao de carregador de bateria do qta;499.99;8.40;60.75;415.15;8.20;20.44;2017;
3;servicos de manutencao em sistema de seguranca;800.00;8.40;107.64;399.45;7.40;100.28;2018;
4;autorizacao para aquisicao de materiais de manutencao predial;710.00;8.40;95.60;355.00;7.40;100.00;2020;prro
1;colocacao de fotografia para composicao do mural dos procuradores regionais da 1 regiao;550.00;8.39;104.67;134.35;5.30;309.38;2021;prr1 regiao
14;para a substituicao da moldura destinada a procuradora regional valquiria oliveira quixada nunes  danificada  durante  a  sua  reinstalacao  apos  a  reforma  ocorrida  no  decimo  segundo andar desta prr1;530.00;8.38;66.57;384.90;8.00;37.70;2021;prr1 regiao
18;material para manutencao predial;449.19;8.36;60.71;228.78;7.40;96.35;2019;prr5 regiao
17;instalacao de cftv na prm monteiro;604.00;8.35;76.69;415.15;7.90;45.49;2020;prpb
15;servico urgente de conserto da porta auxiliar da sede da pres que encontravase impossibilitada de abrir;550.00;8.35;75.50;268.50;7.30;104.84;2021;pres
3;cartucho para atender a divisao de arquitetura e engenharia em razao de nao possuirmos em nosso almoxarifado;537.00;8.34;66.74;399.45;8.00;34.43;2019;prrj
2;prevencao ao covid19;834.26;8.28;117.30;381.85;7.10;118.48;2020;prsc
14;reforma e pintura de portas e armarios da copacozinha da prm monteiro;600.00;8.26;78.20;384.90;7.70;55.88;2019;prpb
16;aquisicao de 01 aquecedor de agua eletrico para o materninho desta ssis;710.00;8.25;99.69;330.00;7.10;115.15;2018;
16;aquisicao de materiais necessarios a manutencao do sistema de irrigacao da pgr;933.80;8.23;145.34;330.00;6.40;182.97;2021;pgr
6;a data do pedido e da compra foram 13032020 conforme consta na nota porem por estar em teletrabalho por causa da pandemia do covid 19  o sistema nao aceitou data retroativa ao mes corrente por isso coloquei dia 01052020 a mensagem e o acesso a esse recurso atualmente nao esta disponivel no portal de acesso externo;724.00;8.23;98.37;396.03;7.40;82.81;2020;prmt
8;servico de confeccao de caixa de areia para desmuniciamento de arma de fogo;429.00;8.23;57.02;248.54;7.50;72.60;2021;prrj
9;aquisicao urgente de tubo e conexoes de pvc marrom necessarios para a manutencao corretivas das vrps valvula redutora de pressao;558.00;8.22;85.29;204.85;6.50;172.39;2019;pgr
16;materiais de consumo para pequenos consertos na estrutura fisica;535.00;8.22;70.56;330.00;7.60;62.12;2021;prpb
6;necessidade de manutencao corretiva dos equipamentos indisponiveis no estoque do patrimonio e sem previsao de aquisicao para reposicao em copas e refeitorio;800.00;8.22;111.27;396.03;7.20;102.00;2018;
17;manutencao no sistema de cftv da prm feira de santana e conserto em fechaduras eletronicas do portao de acesso ao predio principal;582.95;8.20;74.75;415.15;7.80;40.42;2020;prba
12;molduras 80 cm com mdr e vidro antireflexo  02 unidades;390.00;8.20;55.30;185.55;7.10;110.19;2016;
11;aquisicao de vinte protetor facial para utilizacao pelos servidores da prpr;360.00;8.20;50.24;180.00;7.20;100.00;2020;prpr
10;adquiridas pecas para conserto de poltronas de escritorio da prsc;490.00;8.20;74.82;181.78;6.50;169.56;2020;prsc
16;tres reposicoes de vidros no edificio sede da prrs em porto alegre;650.00;8.17;89.88;330.00;7.20;96.97;2016;
4;para contratacoes em carater excepcional que por sua natureza e urgencia nao podem ser contratadas por meio de processo normal de licitacao ou dispensa aquisicao de material necessario a manutencao corretiva de dois aparelhos condicionadores de ar nas dependencias da subsecretaria juridica e da sala de atendimento ao cidadao da prm juiz de fora;659.97;8.16;91.02;355.00;7.30;85.91;2020;prmg
10;"referente a locacao de 30 cadeiras em pvc 02 mesas em pvc e 01 tenda de 5x5m em lona e metal
para uso durante a realizacao das aulas praticas de direcao operacional referente ao curso de capacitacao dos tecnicos de seguranca institucional do mpfpr";500.00;8.15;78.02;181.78;6.40;175.06;2016;
15;aquisicao para substituicao do tapete vinilico na entrada da procuradoria tamanho 180 x 085;495.00;8.14;67.55;268.50;7.30;84.36;2020;prsc
12;cabo de rede 4 pares cat5e x 24 awg na 285 unidades;342.00;8.14;46.58;185.55;7.30;84.32;2017;
17;manutencao nobreak;680.00;8.14;90.06;415.15;7.50;63.80;2016;
17;necessidade de manutencao da rede eletrica da unidade que estava apresentando constantes oscilacoes e ocasionando a queima frequente de lampadas para solucionar o problema era necessaria a aquisicao de dois dps e fios eletricos para realizar os aterramentos individuais dos dps instalados no quadro de distribuicao da unidade no total quatro;630.00;8.12;82.86;415.15;7.60;51.75;2021;prpi
12;adaptador eletrico 10a plug tripolar 30 unidades;207.00;8.12;25.78;185.55;8.00;11.56;2016;
15;reparo em tampo de vidro de mesa da dr bianca localizada no servico medico da prr1;460.00;8.11;62.32;268.50;7.40;71.32;2019;prr1 regiao
18;compra de terra para manutencao do gramado;525.60;8.10;77.45;228.78;6.80;129.75;2021;prr4 regiao
10;lampadas bateria e parafusos com buchas para prm niteroi;398.77;8.09;57.41;181.78;6.90;119.37;2020;prrj
10;tela soldada practica 5x100 mm  22 undades;269.50;8.08;35.55;181.78;7.60;48.26;2016;
12;pilha bateria alcalina 9v 20 unidades;310.00;8.07;42.16;185.55;7.40;67.07;2016;
17;servico de revisao ajustes e troca da resistencia da cafeteira eletrica;480.00;8.06;60.54;415.15;7.90;15.62;2016;
19;nao ha disponibilidade de estoque na selog;472.50;8.03;63.20;308.73;7.50;53.05;2021;prpb
3;molduras para 11 certificados;649.00;8.02;87.21;399.45;7.40;62.47;2019;prsc
6;aquisicao de produtos para copa;541.86;7.97;71.64;396.03;7.60;36.82;2019;prmt
5;"material necessario para a lavagem dos materiais a serem esterilizados no servico medico da pgr nao disponivel no estoque do almoxarifado

";605.00;7.96;83.78;343.00;7.20;76.38;2018;
3;considerando o envio do armamento por parte da pgr para estaprocuradoria desacompanhado de coldres e porta carregadores bem como objetivando oporte seguro e emprego eficaz do referido armamento solicito aquisicao de coldresvelados em kydex e porta carregadores nos moldes das especificacoes abaixo;744.00;7.96;104.61;399.45;7.10;86.26;2020;prse
7;compra de gas;720.00;7.96;110.65;292.50;6.50;146.15;2021;prrs
12;compra de botao de emergencia ccaixa  10 unidades;400.00;7.96;59.03;185.55;6.80;115.58;2016;
8;contratacao de servico de reparacao de bebedouros da prsc patrimonios 33016976 33015204 33016971 e 33016958;558.60;7.95;83.94;248.54;6.70;124.75;2021;prsc
4;aquisicao emergencial de pequena monta;796.50;7.94;118.04;355.00;6.70;124.37;2019;prmt
15;para conserto das portas de acesso do terreo e 3 andar;600.00;7.93;89.04;268.50;6.70;123.46;2021;prr4 regiao
12;aquisicao 60 unidades pilhas aa solicitado por disot material nao disponivel na selog;395.30;7.93;58.14;185.55;6.80;113.04;2020;prsc
6;continuacao da ferramenta de pesquisa e analise em bases de dados de orgao conveniados;800.00;7.92;115.14;396.03;6.90;102.00;2019;prba
17;atendimento das demandas da reforma mudanca de localizacao dos aparelhos de ar condicionado demandaram substituicao das tubulacoes;793.30;7.91;114.11;415.15;7.00;91.09;2019;prr1 regiao
16;atender as necessidades de reparos dos ralos dos banheiros sociais da prr1;595.59;7.90;83.77;330.00;7.10;80.48;2021;prr1 regiao
10;vidro temperado incolor 6mm  quadro mural;450.00;7.88;70.49;181.78;6.40;147.55;2016;
12;compra de reatores  2 x 40 w 10 unidades e 1 x 40 w 05 unidades;345.00;7.86;49.00;185.55;7.00;85.93;2016;
9;aquisicao de 30 aneis de vedacao devido a necessidade de manutencao corretiva urgente nos banheiros dos blocos a b e e f;360.00;7.86;50.40;204.85;7.10;75.74;2017;
9;aquisicao de reparo para valvula de descarga hydra duo e reparo para caixa de descarga acoplada;498.24;7.83;78.23;204.85;6.40;143.22;2018;
0;aquisicao de 150 litros de gasolina comum e 1 litro de oleo 4 tempos para abastecer barco alugado para realizar diligencia em deslocamento para localidades ribeirinhas do municipio de bagre;770.00;7.83;110.23;421.55;7.00;82.66;2018;
8;materiais  complementares  para confeccao de 3 tres caixas de desmuniciamento solicitadas pela disegot;450.00;7.81;64.05;248.54;7.00;81.05;2021;prr4 regiao
8;para atender a forcatarefa lava jato na prrj;450.00;7.81;64.66;248.54;7.00;81.05;2020;prrj
13;material para instalacao dos novos switchs;616.08;7.77;101.61;230.50;6.10;167.28;2019;prsc
16;reposicao de peca do pabx;480.00;7.75;65.83;330.00;7.30;45.45;2021;prsp
4;material adquirido para manutencao predial;480.00;7.75;64.62;355.00;7.40;35.21;2020;prr5 regiao
17;conclusao da montagem de novos equipamentos de som no auditorio e da sala de treinamento esta pendente somente dos cabos de interligacao;600.00;7.75;82.30;415.15;7.30;44.53;2019;prse
4;despesas eventual de pequena monta sem cobertura contratual;578.27;7.73;81.42;355.00;7.10;62.89;2017;
12;compra de chave magnetica 3tw  02 unidades;244.00;7.72;32.91;185.55;7.40;31.50;2016;
12;eletroduto pvc 9 curva pvc p eletroduto 95 luva pvc p eletroduto 5curva pvc180 2 e chumbador cb p parafuso 15;223.45;7.70;29.87;185.55;7.50;20.43;2016;
17;necessidade urgente de reparos em aparelhos de ac em gabinete;540.00;7.70;72.81;415.15;7.40;30.07;2021;prsc
5;aquisicao de envelopes para atender a demanda da prrj;467.20;7.66;63.62;343.00;7.30;36.21;2017;
2;para companhia social tampinha legal seja solidario sua tampinha faz a diferencatratase de um projeto social que tem por objetivo esse ciclo virtuoso do plastico a tampa passara por todo o processo de reciclagem e essa tampinha vai voltar a ser tampinha novamente;595.00;7.66;83.35;381.85;7.10;55.82;2021;prr1 regiao
15;a manutencao feita na porta automatica da recepcao detectou a necessidade de trocar 01carro folha movel ruunmanusa orcamento no valor de r 47200;472.00;7.66;68.52;268.50;6.90;75.79;2018;
16;"complementos necessarios a conclusao do 5
andar";546.00;7.65;77.56;330.00;7.00;65.45;2018;
3;confeccao de 2 banners para evento institucional;500.00;7.65;67.53;399.45;7.40;25.17;2017;
17;servico de readequacao eletrica para instalacao de dois aparelhos novos de ar condicionado nas salas do setor juridico e setor da asspad no mpfprmvitoria da conquistaba;600.00;7.65;83.45;415.15;7.20;44.53;2021;prba
9;borracha para carimbo;332.50;7.62;47.56;204.85;7.00;62.31;2016;
14;solicito seja contratado o servico de confeccao de tampo de vidro de 10 mm para a mesa do procurador wanderley sanan dantas que rachou;470.00;7.62;63.63;384.90;7.40;22.11;2020;prrj
9;borracha para carimbo;332.00;7.62;47.56;204.85;7.00;62.07;2016;
1;memorando n482019smprdfprdf000039132019que solicita e justifica a  contratacao dos servicos de instalacao do compressor csd930220vschulzser realizada por assistencia tecnica especializada;580.00;7.62;135.40;134.35;4.30;331.71;2019;prdf
16;p realizacao de manutencoes na sede da prsc;631.73;7.61;94.18;330.00;6.70;91.43;2019;prsc
9;"referente aquisicao de dois tubos de selante sikaflex um kg de prego 17x27 duas torneiras de cozinha  polegada marca hidrofama seis engates flexiveis 40 cm duas torneiras de lavatorio marca hidrofama
para manutencao dos banheiros e copas no predio sede da prpr";388.70;7.60;58.07;204.85;6.70;89.75;2016;
17;manutencao de equipamento de ar condicionado localizado no auditorio da prmmarilia;580.00;7.60;80.61;415.15;7.20;39.71;2018;
2;aquisicao de lona para protecao da laje da cobertura da prr5 na infiltracao;570.00;7.59;80.53;381.85;7.10;49.27;2017;
18;necessidade de materiais para manutencao predial da prmjiparana;410.00;7.59;60.71;228.78;6.80;79.22;2020;prro
11;fita isolante para atendimento na parte eletrica neste orgao bucha e roda giratoria para conserto do carrinho que transporta processos fita vhb fita duplaface para diversos reparos;338.80;7.58;50.33;180.00;6.70;88.22;2017;
19;isolamento de reatores e troca de 21 lampadas de luminarias queimadas no 1 e 2 pavimentos da sede prm barreiras;488.00;7.58;69.91;308.73;7.00;58.07;2019;prba
1;aquisicao de moldura para exposicao de colete doado por procurador da republica no memorial da prsc;400.00;7.58;71.53;134.35;5.60;197.73;2021;prsc
15;servicos de reparo e manutencao em armario planejado que fica localizado no pavimento terreo da sede da prm feira  ao lado do cartorio;476.50;7.57;69.72;268.50;6.80;77.47;2021;prba
6;manutencao no refrigerador electrolux modelo dfn49 patrimonio nr 33013156;700.00;7.57;102.81;396.03;6.80;76.75;2018;
19;nao ha disponibilidade no estoque da selog;450.00;7.56;63.20;308.73;7.10;45.76;2021;prpb
12;cabo de rede na 328 unidades;399.20;7.55;62.50;185.55;6.40;115.14;2017;
8;conserto e reparos em gesso e pintura para manutencao predial da prmsousa;500.00;7.51;77.46;248.54;6.50;101.17;2021;prpb
3;aquisicao com urgencia de sinalizador com sirene para atender exigencias referentes a seguranca institucional;680.00;7.50;100.71;399.45;6.80;70.23;2020;prro
17;compra de materiais de infra estrutura de informatica;538.00;7.50;74.76;415.15;7.20;29.59;2018;
4;urgencia para a aquisicao de porta por comprometar a seguranca alem do baixo custo da contratacao;634.39;7.49;94.27;355.00;6.70;78.70;2020;prro
10;saco plast pp 15x30x007 aproximad 1kg para uso da esterilizacao odontologia;432.90;7.48;70.68;181.78;6.10;138.15;2017;
14;servico de instalacao de trilho corte e instalacao de laminas em duas persianas mudanca;450.00;7.47;61.65;384.90;7.30;16.91;2020;prrn
1;a compra do material foi solicitada e pelo procurador da republica igor miranda da silva em carater de urgencia para inclusao de copia digital de autos;369.90;7.45;64.56;134.35;5.70;175.33;2018;
10;acabamento adesivo e mascara de adesivo;280.00;7.44;40.60;181.78;6.90;54.03;2016;
1;cabine para votacoes  eis que as eleicoes para procurador chefe regional e para procurador chefe eleitoral acontecerao ao mesmo tempo;395.00;7.44;72.32;134.35;5.50;194.01;2019;prr4 regiao
12;conserto de dois microondas recuperaveis;452.00;7.44;75.41;185.55;6.00;143.60;2019;prrj
3;confeccao de um mapa com o estado do mato grosso indicacao dos municipios de unidades de conservacao terras indigenas quilombos e destaque das areas de atribuicao de cada procuradoria da republica do mt;492.00;7.43;68.27;399.45;7.20;23.17;2021;prmt
16;a cadeira odontologica e as cadeiras de atendimento mochos encontramnase com o estofado danificado;470.00;7.42;67.27;330.00;7.00;42.42;2017;
16;necessidade da troca dos isolamentos da tubulacao dos arcondicionados presentes no terraco da prm de itajaisc;533.33;7.42;78.44;330.00;6.80;61.62;2021;prsc
16;criacao do sistema de exaustao dos banheiros do subsolo;596.26;7.41;90.76;330.00;6.60;80.68;2018;
18;compra de coletor de pilhas e baterias  02 unidades;344.40;7.41;49.73;228.78;6.90;50.54;2016;
15;aquisicao de nova porta de vidro uma vez que a anterior por ocasiao de um acidente se quebrou;500.00;7.36;76.54;268.50;6.50;86.22;2018;
10;necessidade de aquisicao de lona plastica preta para proteger as grelhas de captacao de agua contra quedas de volume de terra que sera escavada para  instalacao aterramento e pararaios spda;374.72;7.36;59.23;181.78;6.30;106.14;2019;prdf
2;recipientes com capacidade de 50 cinquenta litros proprios para transporte de combustivel para realizacao do transporte do oleo diesel contaminado dogerador do edificiosede da prba;630.00;7.35;94.24;381.85;6.70;64.99;2021;prba
17;reparacao de sistema de ar condicionado e reposicao de gas;720.00;7.33;108.64;415.15;6.60;73.43;2018;
0;funcionamento inadequado do air bag do veiculo oficial renaultfluence placa iwr5071;687.95;7.33;101.91;421.55;6.70;63.20;2019;prr4 regiao
17;aquisicao de hd em carater emergencial para instalacao no storage da prm;465.00;7.32;64.84;415.15;7.20;12.01;2019;pres
16;sistema de exaustao do vestiario do subsolo da prsc;434.72;7.32;62.37;330.00;7.00;31.73;2018;
3;placas de identificacao dos exprocuradoreschefe da prsc que ainda nao constam do mural de homenagem situado no memorial da referida procuradoria;600.00;7.30;88.11;399.45;6.80;50.21;2020;prsc
2;aquisicao de tapete capacho sanitizante para prmcriciumasc como prevencao ao covid19;645.00;7.29;97.07;381.85;6.60;68.91;2020;prsc
16;demanda por material nao disponivel em almoxarifado para ser instalado na prm navirai necessidade de controlar entrada e saida do estacionamento;675.00;7.25;108.10;330.00;6.20;104.55;2018;
1;despesas com pagamento de pedagio  viagem a servico;177.40;7.22;25.59;134.35;6.90;32.04;2018;
16;execucao de 8 furos nos tampos de granitos dos banhieros do terreo e segundo andar para colocacao de saboneteiras;500.00;7.22;74.64;330.00;6.70;51.52;2019;prr4 regiao
0;aquisicao de 134 litros de gasolina comum e 1 litro de oleo 4 tempos para abastecer barco alugado para realizar diligencia em deslocamento para localidades ribeirinhas do municipio de bagre;716.80;7.20;110.23;421.55;6.50;70.04;2018;
5;compra emergencial para odontologia;787.00;7.19;132.68;343.00;5.90;129.45;2018;
16;tintas necessarias para pintura das paredes do materninho bloco e;620.00;7.18;98.74;330.00;6.30;87.88;2017;
19;para reposicao de placas de forro danificadas na prsc;640.00;7.17;104.46;308.73;6.10;107.30;2020;prsc
3;atender demanda urgente do gabinete do 4 oficio do meio ambiente da prrr;700.00;7.15;110.03;399.45;6.40;75.24;2018;
4;compra urgente pois o vidro estava trincado amecando quebrar a qualquer momento alem disso a compra foi necessaria pois nao havia no estoque da selog da prpb;550.00;7.15;83.65;355.00;6.60;54.93;2018;
13;foi necessaria a compra de identificador de chaves;240.80;7.14;33.77;230.50;7.10;4.47;2019;prrs
13;3 placas de homenagem solicitadas pela se;540.00;7.14;93.85;230.50;5.80;134.27;2021;prsc
9;borracha para carimbo;315.00;7.14;47.56;204.85;6.60;53.77;2016;
5;compra de materiais em falta ou prestes a acabar necessarios para o atendimento odontologico;594.40;7.13;92.68;343.00;6.40;73.29;2017;
10;roldana de ferro 4 canal u;351.26;7.13;56.56;181.78;6.20;93.23;2016;
1;conserto de fragmentadora destinada ao gabinete do procurador da republica carlos augusto;380.00;7.13;72.03;134.35;5.30;182.84;2020;prsc
17;considerando a que a placa fonte da central de ramais da prmvilhena apresentou parou de funcionar devido a surtos de variacao da energia eletrica no municipio;750.00;7.11;118.38;415.15;6.30;80.66;2018;
18;aquisicao de materiais para manutencao predial;388.39;7.10;60.71;228.78;6.40;69.77;2017;
16;aquisicao urgente de reparos para valvulas hidra instaladas nos banheiros da pgr;657.00;7.09;106.89;330.00;6.10;99.09;2019;pgr
3;solicitacao do coordenador de administracao via nmsg;510.00;7.08;74.82;399.45;6.80;27.68;2018;
9;aquisicao de um cadeado 30mm 01 kit pbanheiro 5 pcs02 thinners eucatex01 esmalte hidra branco 01esmalte hidra branco 02  trinchas 3004 01 chuveiro lumar brqanco 01 ducha higienica engate 30 cm torneira 3040 14 rolo de espuma 5cm 01 lampada halogena 01 refletor taschibra 01 lampada fluorescente compacta02 rolos de espuma 23 cm;301.00;7.07;45.73;204.85;6.60;46.94;2016;
1;material utilizado nas obras para inauguracao da prm de sao goncalo;398.00;7.06;78.13;134.35;5.10;196.24;2017;
19;substituicao de lampadas fluorescente por lampadas led com retirada de reatores em doze luminarias;480.00;7.05;74.15;308.73;6.50;55.48;2021;prba
9;compra de filtro de linha para utilizacao em instalacoes de computadores;400.00;7.05;65.06;204.85;6.10;95.26;2018;
6;aquisicao de material de limpeza em razao da empresa contratada nao estar efetuando a entrega;809.60;7.04;134.88;396.03;6.00;104.43;2018;
12;01 lanterna e 01 farol acello 915c;395.00;7.03;66.48;185.55;5.90;112.88;2016;
10;necessidade de instalacao urgente de dispensers para alcool gel;493.50;7.01;93.75;181.78;5.30;171.48;2020;prr4 regiao
16;colocacao de 5 vidros reposicao nos diversos andares desta prrs;630.00;7.01;103.81;330.00;6.10;90.91;2016;
19;reposicao do estoque do almoxarifado da prrs;495.20;7.00;77.09;308.73;6.40;60.40;2021;prrs
16;terra para recuperacao do gramado e pitangueiras;525.60;6.99;81.69;330.00;6.40;59.27;2021;prr4 regiao
0;transporte de veiculo hilux ofm0842 no trecho santaremobidossantarem de 02 a 06 de julho;500.00;6.99;73.47;421.55;6.80;18.61;2018;
13;banner para montagem de sala de reuniaooitivaimprensa;410.00;6.98;65.63;230.50;6.20;77.87;2019;prrj
18;aquisicao de materiais para manutencao predial;382.51;6.97;60.71;228.78;6.30;67.20;2017;
6;vassoura rodo desinfetante;503.35;6.97;74.88;396.03;6.70;27.10;2016;
17;substituicao de quatro baterias do sistema de combate a incendio com gas fm200 da subestacao no terreo e da sala dos servidores de informatica no 5 pavimento;772.00;6.96;125.58;415.15;6.10;85.96;2018;
6;aquisicao de material de limpeza necessarios para atender a demanda da prrj em razao da empresa graupp  nao estar cumprindo com o contrato;852.90;6.95;148.21;396.03;5.80;115.36;2018;
3;a substituicao da placa eletronica se faz necessaria pois a mesma apresentou problemas e deixou de funcionar nao existindo manutencao que a recupere sem a placa o portao tem que ser acionado manualmente para sua aberturafechamentoe devido ao seu peso elevado cerca de 300 kgs exige um esforco muito grande dos vigilantes responsaveis pela abertura e fechamento do citado portao a medida e excepcional pois nao epossivel prever quando esse equipamento apresentaria falhas dessa natureza durante seu uso normal alem disso o pedido e urgente pois o procedimento de abertura manual do portao alem de exigir um esforco fisico grande compromete a seguranca institucional visto que o tempo de abertura do portao aumenta e ha apenas um vigilante em servico para realizar o procedimento devido as medidas restritivas adotadas em funcao do enfrentamento ao covid19;580.00;6.95;88.92;399.45;6.50;45.20;2020;prsp
3;molduras destinadas a completar o mural de homenagens aos exprocuradoreschefe da prsc situado no memorail da referida procuradoria;575.00;6.94;88.47;399.45;6.50;43.95;2020;prsc
14;material indisponivel no almoxarifado da pgr material usado na posse da procuradora chefe da pgr;512.00;6.93;78.08;384.90;6.60;33.02;2017;
