Cluster_Original;Descricao_Item;Preco_Pago_Real;Preco_Justo_Estimado;Quantas_Vezes_Mais_Caro;ano;unidade_gestora
18;aquisicao de materiais para manutencao predial;382.51;60.71;6.30;2017;
1;em atendimento ao despacho prmjprro000055162020 que solicita aquisicao de 02 unidades de totem higienizador para atender as necessidades da procuradoria da republica em jiparana;600.00;95.24;6.30;2020;prro
8;manutencao em geral srv;300.00;47.67;6.30;2016;
2;4 unid  agua sanitaria4 unid  aromatizante 3 unid  lustra moveis6 cx  pt interf2 pacte  sabao em po1 pacte  desinfetante e sabonete;560.00;89.02;6.30;2016;
14;retirada e colocacao de unidade evaporadora de ar condicionado necessarias a demolicao da parede do banheiro do gab 1 oficio e nao previstas no projeto basico da reforma da sede da prmura;500.00;79.51;6.30;2018;
16;tintas necessarias para pintura das paredes do materninho bloco e;620.00;98.74;6.30;2017;
14;aumentar a seguranca na porta de entrada e melhorar a privacidade nas reunioes do auditorio;500.00;79.73;6.30;2020;prsc
16;aquisicao de torneiras e uma broca para a nova sede da prmblumenau;444.59;71.01;6.30;2018;
13;banner para montagem de sala de reuniaooitivaimprensa;410.00;65.63;6.20;2019;prrj
16;demanda por material nao disponivel em almoxarifado para ser instalado na prm navirai necessidade de controlar entrada e saida do estacionamento;675.00;108.10;6.20;2018;
17;a contratacao necessaria em razao da manutencao dos equipamentos de seguranca da prm monteiro tais como cfvt cerca eletrica e motor do portao que da acesso ao estacionamento da procuradoria de monteiro;500.00;80.18;6.20;2021;prpb
17;materiais eletricos para manutencao da recepcao do cidadao;465.00;74.59;6.20;2019;prrr
15;necessidade das prmserechim e santana do livramento;390.00;62.78;6.20;2020;prrs
10;roldana de ferro 4 canal u;351.26;56.56;6.20;2016;
2;necessario para protecao dos tecnicos de seguranca e transporte;520.90;83.99;6.20;2020;pres
17;instalacao de tomadas e interruptores iluminacao no predio da prsc;500.00;80.66;6.20;2018;
1;p possibilitar realizacao do servico de pintura no gabinete do procurador da republica andre coutinho pagamento foi realizado por suprimento de fundos tendo em vista o exposto na informacao 16792019deaprsc;600.00;96.90;6.20;2019;prsc
7;compra de pen drive para atender as necessidades da prrj em razao de nao possuirmos em nosso almoxarifado;400.00;64.64;6.20;2020;prrj
17;durante manutencao corretiva realizada pela empresa tecnoklima ata de registro de precos 1a2019 constatouse a necessidade de troca da placa eletronica controles do split instalado na sala de reunioes 33016890 em razao de que nao esta resfriando;645.00;104.38;6.20;2019;prsc
16;espelhos do banheiro acessivel do 3 andar e  do gabinete 604 quebraram;410.00;66.41;6.20;2019;prr4 regiao
5;carimbo automatico;302.00;48.93;6.20;2016;
9;compra de filtro de linha para utilizacao em instalacoes de computadores;400.00;65.06;6.10;2018;
17;substituicao de quatro baterias do sistema de combate a incendio com gas fm200 da subestacao no terreo e da sala dos servidores de informatica no 5 pavimento;772.00;125.58;6.10;2018;
16;aquisicao urgente de reparos para valvulas hidra instaladas nos banheiros da pgr;657.00;106.89;6.10;2019;pgr
12;kelly valv p mict  2 unidades;247.36;40.27;6.10;2016;
0;necessidade de atender demandas de manutencao das viaturas desta prmniteroi;530.00;86.40;6.10;2019;prrj
12;kelly valv p mict  2 unidades;247.00;40.27;6.10;2016;
2;alcool em gel para o totem da portaria;473.40;77.20;6.10;2020;prrj
19;para reposicao de placas de forro danificadas na prsc;640.00;104.46;6.10;2020;prsc
10;saco plast pp 15x30x007 aproximad 1kg para uso da esterilizacao odontologia;432.90;70.68;6.10;2017;
8;vidro para colocacao de quadro branco na secretaria estadual da prsc e fixador de espelho p colocacao de espelhos em banheiros da prsc;388.00;63.50;6.10;2019;prsc
16;retoque da pintura do predio da prm instalacao eletrica para ligacao de ar condicionado conserto da pia do banheiro masculino no 2 andar limpeza dos ambientes da prm;472.93;77.82;6.10;2017;
10;servico de perfuracao em concreto 08 furos de 34 x 15 cm;280.00;46.12;6.10;2017;
16;colocacao de 5 vidros reposicao nos diversos andares desta prrs;630.00;103.81;6.10;2016;
0;conforme formulario prr3000231302021;550.00;90.65;6.10;2021;prr3 regiao
5;100 unidades de capas de processo em papel sulfite;280.00;46.15;6.10;2016;
13;material para instalacao dos novos switchs;616.08;101.61;6.10;2019;prsc
1;para atender necessidades apontadas pelo demandante no prro000137502021;548.00;90.41;6.10;2021;prro
16;aquisicao de forro mineral para atender ao servico de reforma do teto do decimo segundo andar desta prrj;618.46;102.31;6.00;2019;prrj
16;a janela do 702 foi danificada no ultimo temporal e a janela da coorjur no 4 pavimento esta com uma castanha faltando;415.00;68.71;6.00;2018;
8;material para manutencao de bens moveis;396.42;65.65;6.00;2018;
3;lona em impressao digital 3x3;403.25;66.82;6.00;2016;
5;nao ha contrato vigente para o objeto;376.00;62.39;6.00;2018;
12;aquisicao de tomada de sobrestar para uso na prm;199.00;33.02;6.00;2017;
12;rejunte flex 10;199.00;33.05;6.00;2016;
4;aquisicao de material de biosseguranca para atendimento da prms e prms vinculadas em conformidade com a nota tecnica n 0012020seprms;1948.40;324.31;6.00;2020;prms
6;aquisicao de material de limpeza em razao da empresa contratada nao estar efetuando a entrega;809.60;134.88;6.00;2018;
1;disponibilizacao de fundo com logomarca da procuradoria da republica em barra do garcas em atendimento a deflagracao de operacoes e atendimento a midia local;550.00;91.67;6.00;2020;prmt
12;aquisicao de regua de tomada de 12 posicoes para a ci pois nao havia o item no almoxarifado;198.00;33.02;6.00;2018;
12;conserto de dois microondas recuperaveis;452.00;75.41;6.00;2019;prrj
17;cabos hdmi para uso no auditorio e na sala de reunioes do 5 andar;448.00;74.79;6.00;2018;
16;impermeabilizacao da laje do deposito do patrimonio materiais no deposito com risco de deterioracao devido a infiltracao;506.70;84.63;6.00;2018;
2;aquisicao em carater de urgencia devido a necessidade de implementar medidas de protecao dos usuarios e visitantes do edificiosede desta procuradoria diante da panemia do covid19 conforme orientacoes das autoridades de saude;674.35;112.66;6.00;2020;prr3 regiao
17;manutencao de ar condicionado emergencial da prmgvs;430.00;71.96;6.00;2019;prmg
13;copias de plantas da obra da prpb;350.00;58.59;6.00;2021;prpb
12;panqueca 58 tubo cobre flexivel panqueca 38 tubo cobre flexivel tubo isolante polietileno fita pvc 10m e curva 90 58;302.32;50.62;6.00;2016;
17;aquisicao de conversor isolado usb para trafego de dados coletada das catracas do predio sede da prpr;679.00;113.71;6.00;2018;
17;servico de montagem de 07 estantes  instalacao de 02 chuveiros e troca de tomadas;355.00;59.52;6.00;2016;
12;01 lanterna e 01 farol acello 915c;395.00;66.48;5.90;2016;
6;em carater de emergencial para suprir odontologia;581.01;97.90;5.90;2017;
5;compra emergencial para odontologia;787.00;132.68;5.90;2018;
12;aquisicao de cabo flexivel para componentes eletricos;290.00;48.90;5.90;2021;prac
3;aquisicao realizada para para o adequado funcionamento da etac;515.30;86.99;5.90;2018;
5;aquisicao de termometro digital para atender solicitacao da disot;559.90;94.52;5.90;2021;prdf
13;copias de chaves de algumas portas principais de gabinetessetores desta procuradoria prba000476522021;420.00;71.00;5.90;2021;prba
15;reparo na porta auxiliar com desempeno e conserto na fechadura;350.00;59.28;5.90;2020;prrj
2;protecao contra a pandemia de covid19;675.60;114.76;5.90;2020;prrs
7;torneira clinica para atender ao gabinete odontologico;332.00;56.44;5.90;2019;prrj
17;cordoes opticos necessarios para ligar os equipamentos da sala de servidores para a sala de telecomunicacoes;604.08;102.85;5.90;2019;prrj
13;demanda do eco time por lixeira especifica para campanha de coleta de pilhas na sede da prms;414.00;70.54;5.90;2017;
17;servico emergencial de manutencao nas instalacoes eletricas da prmspa com utilizacao de material e revisao de toda a rede eletrica realizada em dia nao util  01112019;460.00;78.39;5.90;2019;prrj
3;servico de manutencao de 2 nvr e 1 hd de 6t para uso da seguranca;550.00;93.78;5.90;2021;prpb
0;manutencao de viatura oficial;340.00;58.07;5.90;2019;prrj
17;adaptacao do sistema de alimentacao de gas do fogao do restaurante instalacao do fogao em si;650.00;111.14;5.80;2019;prrs
5;acucar itamarati pacote 2kg cristal;377.30;64.54;5.80;2016;
5;acucar itamarati pacote 2kg cristal;377.00;64.54;5.80;2016;
14;para a identificacao das portas de acesso a determinados setores da prr1 no padrao ja existente;501.00;85.93;5.80;2021;prr1 regiao
2;protecao contra a pandemia de covid19;668.80;114.76;5.80;2020;prrs
11;compra de engate para banheiros fita crepe para protecao de parte metalica de catraca para pintura fita de demarcacao de area e refletor para iluminacao externa;370.40;63.63;5.80;2021;prac
17;a prm jundiai mudou de sede e precisava reparar a cerca eletrica da antiga sede para regularizacao das pendencias daquele contrato de aluguel;453.53;78.22;5.80;2021;prsp
12;compra de saco de lixo 200 lt pacote com 100 unidades  01 unidade;212.60;36.69;5.80;2016;
3;conserto de televisor da prsc patrimonio mpf 00076046 usado para videoconferencias;685.00;118.28;5.80;2021;prsc
13;compra de material para conserto das camaras de seguranca;398.00;68.77;5.80;2021;prpb
7;agua mineral;480.00;82.95;5.80;2016;
5;etiqueta 40x25 bopp 29m 10 rolos;340.00;58.83;5.80;2016;
8;tampas dos vasos sanitarios com parafusos quebrados;400.00;69.23;5.80;2020;prba
16;consertos dos portoes frontais da prmsousa colocacao de tampa no poco artesiano e conserto de 5 portas internas do predio;630.00;109.18;5.80;2021;prpb
0;revisao e manutencao de garantia de fabrica do veiculo oficial jeep compass placa qvr2i39;714.00;123.76;5.80;2021;prpa
0;revisao e manutencao de garantia do veiculo oficial jeep compass placa qvr2i79;714.00;123.76;5.80;2021;prpa
9;aquisicao de filtros de linha para reposicao;394.80;68.55;5.80;2021;prrj
15;aquisicao de pecas para manutencao de portao eletronico de controle remoto e de puxadores para porta de acesso a area externa;400.00;69.46;5.80;2018;
15;p instalacao em porta e janela de vidro do atico da torre 3 da prsc com intuito de homgeneizacao das vidracas do local;375.00;65.13;5.80;2019;prsc
6;aquisicao de material de limpeza necessarios para atender a demanda da prrj em razao da empresa graupp  nao estar cumprindo com o contrato;852.90;148.21;5.80;2018;
13;3 placas de homenagem solicitadas pela se;540.00;93.85;5.80;2021;prsc
4;pequeno vulto e entrega imediata;440.69;76.59;5.80;2021;prro
17;conserto portao garagem de veiculos com servico de solda;520.00;90.51;5.70;2021;prba
17;para viabilizar video monitoramento;694.00;120.89;5.70;2019;prr4 regiao
13;confeccao de banner e copias de mapas;350.00;61.08;5.70;2017;
1;a compra do material foi solicitada e pelo procurador da republica igor miranda da silva em carater de urgencia para inclusao de copia digital de autos;369.90;64.56;5.70;2018;
2;aquisicao emergencial de produtos de limpeza necessarios a prestacao dos servicos conservacao e higienizacao desta prm conforme autorizado pela exma procuradorachefe despacho prpr000440922018;596.13;104.09;5.70;2018;
16;aquisicao de material nao disponivel no estoque do almoxarifado da pgr material nao faz parte dos estocaveis;643.20;112.39;5.70;2017;
2;alcool gel para higienizacao dos publicos internos e externos;437.40;76.48;5.70;2021;prrj
16;material para reparos e manutencao da prm monteiro;362.50;63.42;5.70;2021;prpb
3;necessidade urgente de desocupar o deposito para abrigar o acervo bibliografico do mpt e do mpf em jiparana;500.00;87.51;5.70;2018;
13;aquisicao de produto para reparomanutencao prm blumenau;385.00;67.41;5.70;2021;prsc
3;servicos de confeccao de banners para serem utilizados nas audiencias publicas;385.00;67.42;5.70;2019;prrj
16;manutencao da bomba megabloco;623.00;109.14;5.70;2016;
16;manutencao hidraulica  torre 3;323.75;56.79;5.70;2021;prsc
9;desempenador aco inox espatulas em aco inox 60m e 100m argamassa 25kg massa corrida pva 18l tubo pvc esgoto 50mm capa esgoto 100 joelho esgoto 90 reducao esgoto excentrica 100x50 t esgoto curto 50x50 material utilizado na sala de reuniao do 11 andar e no sistema de esgoto da cobertura do edificiosede da prr 5 regiao;233.80;41.07;5.70;2016;
17;aquisicao de patch cord para utilizacao nos servidores de rede;497.40;87.47;5.70;2019;prrj
16;manutencao da sede da prpi;397.63;69.95;5.70;2018;
7;gas de cozinha 13kg;480.00;84.61;5.70;2016;
13;copia de chave;98.00;17.27;5.70;2016;
19;aquisicao de refletor para uso na prm;382.20;67.40;5.70;2018;
17;instalacoes de audio no auditorio;499.80;88.16;5.70;2019;prrs
12;luva procedimento supermax ext peq com 100;210.00;37.04;5.70;2016;
14;cavalete de sinalizacao para as vagas externas de estacionamento;451.00;79.61;5.70;2018;
6;produtos para copa;405.84;71.64;5.70;2019;prmt
3;servicos urgentes cuja execucao deveria ser imediata por envolver problemas diretamente relacionados a seguranca organica da unidade;505.00;89.23;5.70;2019;prpi
4;o presente servico tem carater de urgencia e nao foi possivel haver planejamento pois tratase de lampadas queimadas;379.00;67.02;5.70;2019;prrs
12;registro joelho luva e adaptador;152.00;26.91;5.60;2016;
3;transporte de diversos equipamentos para a prmbarra do garcas totalizando 484 m3;530.00;94.19;5.60;2016;
12;panqueca tubo cobre flexivel e fita pvc 10mt;304.97;54.21;5.60;2016;
6;aquisicao de produtos de limpeza e conservacao para uso da prm;750.60;133.64;5.60;2018;
6;aquisicao de produtos de limpeza e conservacao para uso da prm;750.60;133.64;5.60;2018;
3;para dar maior rigidez aos mastros das bandeiras que envergam com ventos fortes;450.00;80.38;5.60;2020;prr4 regiao
5;atender solicitacao da disot;382.00;68.25;5.60;2021;prpr
1;aquisicao de moldura para exposicao de colete doado por procurador da republica no memorial da prsc;400.00;71.53;5.60;2021;prsc
17;instalacao de radio de comunicacao nos elevadores;700.00;125.33;5.60;2021;prpb
4;material requer urgencia na aquisicao tendo em vista tratarse de itens indispensaveis a manutencao de ambiente adequado ao trabalho nao sendo passivel de planejamento lampadas queimadas;494.00;88.47;5.60;2019;prrs
6;material de limpeza e higiene para atender as necessidades da prm marilia a empresa contratada riomix nao realizou a entrega alem disso o contrato com a referida empresa esta sendo encerrado ja que ela descumpriu diversas clausulas contratuais e nao honrou os compromissos trabalhistas;600.00;107.52;5.60;2019;prsp
17;desinstalacao de condensadora de ar condicionado 9000 btus  r 12000 instalacao de condensadora de ar condicionado 9000 btus  r 12000 instalacao de purificador de agua  r 6000 recondicionamento em canal de dvr  r 18000 manutencao em sensor de barreira  r 4700;526.32;94.35;5.60;2021;prba
16;aquisicao de floreira para uso no segundo andar do predio sede da prpr;460.00;82.50;5.60;2020;prpr
16;aquisicao de floreira para uso no segundo andar do predio sede da prpr;460.00;82.50;5.60;2020;
17;material eletrico necessario para instalacao de nobreaks no cpd;372.90;66.91;5.60;2018;
5;manutencao  do  estoque  do  servico  medico;303.48;54.46;5.60;2021;prba
17;manutencao do nonabreak do sistema de cftv o qual continuou a apresentar problemas de funcionamento mesmo apos a substituicao das baterias requerendo manutencao emergencial completa;485.00;87.14;5.60;2017;
14;pedido de cabo pra destravamento dos radios de seguranca da prrn;400.00;71.89;5.60;2021;prrn
13;confeccao de carimbos e borrachas de carimbos;415.00;74.60;5.60;2016;
3;devido a necessidade do veiculo ser utilizado para o transporte de membros diarios tornouse necessario a colocacao do referido item;560.00;100.82;5.60;2018;
0;autorizado pelo secretario estadual;660.00;118.96;5.50;2021;prro
10;02 fechaduras porta corta fogo zi dormer broca p concreto 08 dormer broca para concreto 10 dormer broca para concreto 06;215.00;38.88;5.50;2016;
2;aquisicao servico de alfaiataria para panos cerimonial da prr4;360.00;65.18;5.50;2019;prr4 regiao
13;copia de chaves e troca de segredo de cadeados em razao do novo contrato de vigilancia;260.00;47.13;5.50;2019;pres
3;"nao ha contrato vigente para atender a presente demanda
trata de questoes   relacionadas   a   seguranca   da   instituicao";580.00;105.14;5.50;2018;
12;aquisicao de cabo otico para instalacao de  switches de fibra otica material nao disponivel no almoxarifado;272.94;49.57;5.50;2018;
6;papel toalha pano de chao gel limpador;373.97;67.95;5.50;2016;
2;dar cumprimento aos protocolos de seguranca para o retorno as atividades da prse profilaxia do virus sarscov2causador da covid 19;763.50;138.98;5.50;2020;prse
16;aquisicao de material de construcao para reparo na area externa da prm;439.90;80.09;5.50;2017;
10;moldura em granito para levador ouro negro;344.01;62.67;5.50;2016;
4;necessidade de bateria veicular ausencia de contrato de manutencao veicular;580.00;105.80;5.50;2021;prrr
14;molduras p quadro calendario de atividades;400.00;72.97;5.50;2019;prr4 regiao
10;"perioplac anti septica bucal 1l
riva lc kit";333.20;60.96;5.50;2016;
1;cabine para votacoes  eis que as eleicoes para procurador chefe regional e para procurador chefe eleitoral acontecerao ao mesmo tempo;395.00;72.32;5.50;2019;prr4 regiao
10;parafuso telheiro 516 x 110mm  10un x r 0;70.00;12.81;5.50;2016;
17;material para manutencao de cameras;455.00;83.34;5.50;2018;
19;servico de manutencao eletrica substituicao de reatores;430.00;78.77;5.50;2016;
3;autorizado pelo secretario estadual e coordenador de administracao;540.00;98.98;5.50;2021;prro
3;aquisicao de mateiral para manutencao da procuradoria;562.00;103.07;5.50;2020;prro
3;atender em carater de urgencia solicitacao da secretaria de desenvolvimento de pessoas na sedep para evento comemorativo da semana do servidor publico na pgr;564.90;103.71;5.40;2017;
16;pecas para reparo do refrigerador eletrolux localizado na copa do quinto andar da prm blumenau;420.00;77.15;5.40;2021;prsc
19;necessidade de manutencao da rede eletrica da unidade que estava apresentando constantes oscilacoes e ocasionando a queima frequente de lampadas para solucionar o problema era necessario substituir dois dps queimados e fazer aterramentos individuais para cada dps instalado quatro no total;400.00;73.52;5.40;2021;prpi
16;pecas para manutencao de bebedouros 33012562 e 33013294;470.00;86.47;5.40;2018;
16;reparo nos banheiros masculinos da prr1 material inexistente no almoxarifado;354.41;65.22;5.40;2021;prr1 regiao
6;aquisicao de produtos para copa;389.24;71.64;5.40;2019;prmt
12;compra de pendrive 16 gb  10 unidades;260.00;47.87;5.40;2016;
11;aquisicao de rodas para carrinho de carga da prsc assim como de graxa para instalacao das referidas e tambem de fita adesiva para uso do arquivo central da prsc;328.72;60.56;5.40;2021;prsc
6;leitor mifane  1 unidade;499.80;92.17;5.40;2016;
4;suprimento para atender despesas com material de consumo;397.77;73.36;5.40;2019;prsp
17;realizacao de servicos de desmontagem dos medidores e instalacao de mangueiras de gas;670.00;123.58;5.40;2019;prrs
13;confeccao de duas placas de homenagem para procuradores aposentados;380.00;70.09;5.40;2021;prr4 regiao
4;aquisicao de material de consumo para odontologia nao adquirido  por licitacao;623.00;115.00;5.40;2017;
10;aquisicao de plastico preto para proteger os moveis no servico de pintura;380.00;70.16;5.40;2017;
2;prevencao ao novo coronavirus;530.00;97.91;5.40;2020;prr4 regiao
17;para instalacao de camera no auditorio;373.00;69.06;5.40;2019;prr4 regiao
6;para pagamento de material adquirido para a copa;323.44;59.95;5.40;2019;prrj
4;compra de pastas para treinamento;349.80;64.87;5.40;2019;prmt
11;compra de uma torneira para a cozinha da prm em funcao de vazamentos da antiga 10 anos de uso interruptores para troca e correcao de mau contato nos antigos fita veda rosca para a instalacao da torneira parafuso e bucha para fixacao de extintor de incendio na parede;241.16;44.79;5.40;2021;prsc
2;aquisicao de alcool em gel;419.40;77.95;5.40;2021;prrj
2;aquisicao de alcool em gel 70;419.40;77.95;5.40;2021;prrj
16;aquisicao de 02 valvulas de retencao dn 4 necessarias para manutencao do sistema hidraulico da pgr;692.92;128.89;5.40;2021;pgr
12;cabo de rede na 287 unidades;336.00;62.50;5.40;2017;
17;servico manutencao na central de alarme enderecavel combate a incendio;480.00;89.30;5.40;2021;prba
13;"confeccao de 8 carimbos modelo autoentintado n 20  24000
confeccao de 01 carimbo autoentintado modelo s829  r 7000
troca de 07 borrachas de carimbos autoentintados  r 10500

justificativa devido troca de procuradores  fizemos os carimbos pois achamos que carimbos era material e nao servicos";415.00;77.21;5.40;2016;
13;aquisicao de diversos itenssuprimentos necessarios para o funcionamento da prm blumenau;362.30;67.41;5.40;2020;prsc
16;aquisicao emergencial de conexoes hidrossanitarias necessarias as manutencoes corretivos da pgr;588.50;109.52;5.40;2019;pgr
8;materiais para reparos em vasos sanitarios e pintura necessarios;485.00;90.38;5.40;2019;prrs
5;material diverso para realizacao de varios reparos na procuradoria;469.20;87.56;5.40;2019;prpb
17;restituir cerca eletrica e manutencao do cftv para regularizar as panes que podiam comprometer a seguranca organica do predio afetando a integridade de membros servidores colaboradores e publico que comparece a prm monteiro;500.00;93.39;5.40;2021;prpb
4;atendimento a demanda constante do memorando apgeprsc n3702021 prsc000470132021;330.00;61.65;5.40;2021;prsc
19;material eletrico  lampadas led;366.25;68.45;5.40;2021;prba
7;aquisicao urgente de filtro sem estoque no almoxarifado;265.00;49.60;5.30;2019;prrs
17;cftv mossoro;412.80;77.29;5.30;2021;prrn
17;p realizacao de manutencoes eletricas na prsc;495.20;92.78;5.30;2019;prsc
7;aquisicao de refil para os purificadores das copas em razao de nao possuirmos em nosso estoque e os que estao em uso ja estao fora da validade;640.00;119.99;5.30;2018;
19;p substituicao de pecas queimadas na prsc;359.25;67.36;5.30;2019;prsc
12;corrente zb curta 1;218.00;40.90;5.30;2016;
17;contator para o aparelho de ar condicionado self no 3 subsolo;397.39;74.59;5.30;2018;
17;instalacao eletrica na guarita g2 permitindo instalacao de ventiladores;402.84;75.65;5.30;2020;prsc
11;fita dupla face;110.00;20.65;5.30;2016;
17;campanha de economia de energia;435.40;81.79;5.30;2021;prr4 regiao
13;confeccao de carimbo com numerador automatico;280.00;52.60;5.30;2016;
5;compra emergencial para odontologia;706.00;132.68;5.30;2019;pgr
3;conforme solicitacao do coordenador de administracao vide email anexo p atendimento de necessidade da prmcriciuma;393.13;73.91;5.30;2021;prsc
3;necessidade de aquisicao de baterias para o nobreak do cpd que mantem o servidorcompra autorizada pelo marco aurelio e pelo senhor secretario francisco de assis;720.00;135.38;5.30;2019;prmt
4;conserto de tv fora da garantia nao foi possivel pagar com cartao maquina com defeito houve saque no valor de r48000;480.00;90.57;5.30;2018;
6;impermeabilizante becker floor uhs advantage bb 5l detergente removedor de cera removit 5l e limpador 5l;289.00;54.68;5.30;2016;
16;garrafa termica para atender a copa do 6 pavimento em razao das existentes nao estarem mantendo o cafe aquecido e tb em razao das inumeras reunioes que ocorrem no andar;359.60;68.05;5.30;2018;
3;necessidade de confeccao de banner com medidas especificas para atender demanda do gabinete dr silvio pettengill neto;341.00;64.57;5.30;2019;prms
1;conserto de fragmentadora destinada ao gabinete do procurador da republica carlos augusto;380.00;72.03;5.30;2020;prsc
6;aquisicao de material de limpeza em razao da empresa responsavel pelo contrato de limpeza e conservacao desta procuradoria nao entregou os materiais para o corrente mes;808.35;153.25;5.30;2018;
9;materiais para manutencao de pias vaso sanitario e mangueira;466.00;88.44;5.30;2021;prba
10;necessidade de instalacao urgente de dispensers para alcool gel;493.50;93.75;5.30;2020;prr4 regiao
15;aquisicao de porta da assessoria do gabinete para instalacao de fechadura biometrica;286.00;54.34;5.30;2019;prpb
15;quebra da fechadura de chave tetra da porta de acesso a prm necessidade de troca da fechadura e confeccao de chaves tetra para substituir a anterior;250.00;47.51;5.30;2017;
1;colocacao de fotografia para composicao do mural dos procuradores regionais da 1 regiao;550.00;104.67;5.30;2021;prr1 regiao
12;150 unidades de bolo de arroz  150 unidades de bolo de queijo e 150 unidades de esfirra de carne;286.50;54.53;5.30;2016;
17;compra de compressor para conserto de geladeira electrolux modelo dfn42;400.00;76.19;5.20;2021;prrj
17;material para conserto do teto da sala 107;350.00;66.71;5.20;2019;prrr
5;compra de material farmacologico diverso para posto medico da prrj;348.59;66.46;5.20;2016;
4;bateria automotiva;240.00;45.78;5.20;2016;
2;"carbono particulacao accufilm ii
anestesico lidocaina 2
fluorniz verniz cfluor 10 ml";373.00;71.23;5.20;2016;
5;compra de material farmacologico diverso para posto medico da prrj;348.00;66.46;5.20;2016;
13;banner para equipar sala de reunioes da prmnova friburgo;350.00;66.92;5.20;2018;
12;"produtos de eletrica para atender a prm petropolis
fita isolante para atender ao servico de eletrica nesta prrj";286.40;54.76;5.20;2017;
16;servico de pequena monta para recuperacao do forro da garagem;480.00;91.92;5.20;2020;pres
15;aquisicao de materiais necessarios para instalacao de porta de vidro na biblioteca da pgr;476.32;91.24;5.20;2018;
18;pilhas alcalinas e baterias 9v;282.86;54.20;5.20;2016;
12;conectores rj45 macho cat6 para instalacao de infraestrutura wifi;275.00;52.73;5.20;2019;prrj
6;aquisicao de kits  de reagente para o lacpgr informo que a nota  com data de 23102018 e o pagamento foi realizado somente no dia 24102018 por que a empresa tem e goiania  go;577.00;110.72;5.20;2018;
10;aquisicao de de dois numeros em aco inox 02 duchas hig viqua foz abs ref1160252 02 assentos sanit premium branco kroma 8324 duzias de abraclotus pt 36x250mm dz 04 bl de pilha extra media 2pc famastil 50 parafusos sext14x58 50 porcas newfix c 14ch716 sext zinc 20 suportes prateleira 8mm branco;280.20;53.90;5.20;2016;
6;o servidor jodeilson estava de licenca;415.58;80.17;5.20;2020;prr5 regiao
5;aquis de termometro digital infravermelho md821 cbateria9viinclusa;495.00;95.53;5.20;2020;pgr
0;primeira revisao do veiculo oficial s10 da prmbalsas;547.03;105.61;5.20;2016;
6;aquisicao de pen drive pra atender as necessidades desta prrj;400.00;77.25;5.20;2020;prrj
3;aquisicao de 3 molduras para exposicao de certificados e cedulas de rupias indonesias na sede da prsc;410.00;79.19;5.20;2019;prsc
19;lampadas para prm niteroi;390.00;75.39;5.20;2020;prrj
16;aquisicao de materiais utilizados na copa e nas portas dos banheiros masculino feminino e especial do 15 andar do edificio da prpr;430.98;83.37;5.20;2018;
2;necessidade de material de manutencao de bens imoveis em beneficio da prmparnaibapi;306.81;59.47;5.20;2019;prpi
13;copias de chaves necessarias;234.00;45.49;5.10;2019;prrs
0;aquisicao de 130 litros de gasolina comum para abastecer barco alugado para realizar diligencia em deslocamento para localidades ribeirinhas do municipio de bagre;676.00;131.50;5.10;2018;
7;readequacao do filtro anaerobico de agua pluvial;416.24;81.06;5.10;2019;prrs
5;material com estaque critico nao sendo possivel aguardar novo procedimento licitatorio conforme descrito documento da ssisnasaude;500.00;97.46;5.10;2017;
12;tubo cobre flexivel panqueca tubo isolante polietileno e solda foscoper;251.05;48.94;5.10;2016;
5;aquisicao de diversos produtos para uso e suprimento da prm blumenau;507.60;99.12;5.10;2021;prsc
15;conserto e manutencao do porta principal de acesso da prm niteroi;300.00;58.61;5.10;2021;prrj
10;substituicao interruptor com defeitosuporte para lampadacola de silicone para rejunte e aplicadorlampada led embutir;247.86;48.56;5.10;2021;prsc
16;aquisicao de 2 dois bracos para luminaria externa conforme detalhamento enviado a serralherias para iluminacao do passeio frontal do predio;480.00;94.07;5.10;2019;prr4 regiao
17;o nobreak requer o conserto em carater de urgencia em razao de alimentar o cftv e o relogio ponto da prm outrossim a urgencia justificase a fim de que se possa evitar danos dos equipamentos que agora estao ligados diretamente na rede eletrica;760.00;149.01;5.10;2019;prrs
5;compra efetuada em razao da empresa vencedora da licitacao nao ter entregue os frascos de cola para atender as necessidades desta prrj;350.00;68.66;5.10;2018;
1;material utilizado nas obras para inauguracao da prm de sao goncalo;398.00;78.13;5.10;2017;
13;atender as necessidades da assessoria de apoio a lavanajato nao ha contrato formalizado para o exercicio de 2017;383.80;75.41;5.10;2017;
4;compra de pequena monta;600.00;118.04;5.10;2018;
13;identificacao das chaves na prmg;339.00;66.72;5.10;2021;prmg
10;compra de lona plastica preta 4 x 100 para servico de pintura  02 unidades;200.00;39.38;5.10;2016;
2;compra de material de expediente para limpeza e conservacao da prrr;593.00;116.82;5.10;2021;prrr
17;conserto de ar split do rack de informatica;450.00;88.68;5.10;2021;prrj
6;pepel toalha;278.44;54.90;5.10;2016;
5;aquisicao de medicamentos para area medica da prr4 em servico de pronto atendimento;450.20;88.79;5.10;2019;prr4 regiao
9;aquisicao de tubos de cobre isolantes e fita aluminizada para instalacao de equipamento de ar condicionado no anexo 3 da pgr;319.18;62.96;5.10;2018;
4;despesas de pequeno vulto de pronto pagamento que nao podem seguir o rito norma de contratacoes;325.00;64.36;5.00;2018;
14;aplicacao de pelicula parede de vidro selog prsc;360.00;71.31;5.00;2019;prsc
